"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 02- 13","217.88","215.38","220.48","209.62","47.34M","2.46%"
"2023- 02- 10","212.65","216.90","220.78","208.11","55.07M","-4.80%"
"2023- 02- 09","223.37","226.06","230.20","221.20","52.10M","0.59%"
"2023- 02- 08","222.05","223.87","228.78","220.08","54.74M","0.14%"
"2023- 02- 07","221.73","213.82","222.59","211.50","66.11M","5.14%"
"2023- 02- 06","210.89","208.06","215.70","207.86","45.13M","-0.05%"
"2023- 02- 03","211.00","210.00","217.45","207.89","42.94M","-2.81%"
"2023- 02- 02","217.09","210.00","219.49","207.00","55.96M","3.66%"
"2023- 02- 01","209.43","196.91","211.92","196.11","65.55M","7.20%"
"2023- 01- 31","195.37","191.70","196.87","189.50","49.80M","1.96%"
"2023- 01- 30","191.62","199.50","201.40","191.50","48.67M","-5.91%"
"2023- 01- 27","203.65","194.62","206.28","194.05","54.21M","2.84%"
"2023- 01- 26","198.02","197.01","201.66","192.78","48.53M","2.48%"
"2023- 01- 25","193.23","189.13","193.70","185.80","44.76M","0.30%"
"2023- 01- 24","192.65","188.27","194.95","188.20","48.75M","0.38%"
"2023- 01- 23","191.93","180.64","192.45","178.18","65.30M","7.59%"
"2023- 01- 20","178.39","170.11","178.56","168.25","56.50M","6.41%"
"2023- 01- 19","167.65","170.36","171.97","167.31","45.14M","-3.52%"
"2023- 01- 18","173.77","176.67","178.73","172.82","43.96M","-1.84%"
"2023- 01- 17","177.02","168.99","177.28","168.99","50.94M","4.75%"
"2023- 01- 13","168.99","162.78","169.22","161.65","44.73M","2.35%"
"2023- 01- 12","165.11","161.00","166.37","154.92","55.02M","3.19%"
"2023- 01- 11","160.01","158.40","160.28","155.63","35.25M","0.58%"
"2023- 01- 10","159.09","155.07","159.62","154.72","38.33M","1.80%"
"2023- 01- 09","156.28","152.84","160.56","151.41","50.34M","5.18%"
"2023- 01- 06","148.59","144.74","150.10","140.34","40.50M","4.16%"
"2023- 01- 05","142.65","144.91","145.64","141.48","38.85M","-3.28%"
"2023- 01- 04","147.49","145.67","148.53","142.41","43.04M","3.03%"
"2023- 01- 03","143.15","148.51","149.96","140.96","40.06M","-2.05%"
