"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 03- 22","61.63","61.84","62.28","61.47","5.19M","-0.34%"
"2024- 03- 21","61.84","61.16","63.05","60.96","15.43M","1.58%"
"2024- 03- 20","60.88","59.93","61.52","59.61","18.19M","-2.53%"
"2024- 03- 19","62.46","60.48","62.56","60.22","5.19M","3.60%"
"2024- 03- 18","60.29","59.94","60.71","59.74","3.32M","1.02%"
"2024- 03- 15","59.68","57.96","59.85","57.96","3.48M","1.69%"
"2024- 03- 14","58.69","59.44","59.55","58.24","2.08M","-1.43%"
"2024- 03- 13","59.54","59.71","59.83","59.14","2.17M","-0.33%"
"2024- 03- 12","59.74","59.94","60.53","59.73","3.48M","-0.48%"
"2024- 03- 11","60.03","60.09","60.41","59.51","2.32M","0.03%"
"2024- 03- 08","60.01","59.30","60.55","58.83","4.23M","1.49%"
"2024- 03- 07","59.13","58.30","59.21","58.15","3.28M","2.14%"
"2024- 03- 06","57.89","57.13","57.93","56.75","3.40M","1.69%"
"2024- 03- 05","56.93","57.00","58.46","56.90","3.50M","-0.07%"
"2024- 03- 04","56.97","56.52","57.13","56.30","3.27M","0.78%"
"2024- 03- 01","56.53","56.29","56.67","55.51","3.17M","0.59%"
"2024- 02- 29","56.20","56.67","56.68","56.08","3.75M","-0.21%"
"2024- 02- 28","56.32","56.31","56.64","56.20","1.92M","-0.09%"
"2024- 02- 27","56.37","56.28","56.48","56.08","1.67M","0.32%"
"2024- 02- 26","56.19","56.47","56.63","55.82","1.90M","-0.81%"
"2024- 02- 23","56.65","56.85","56.87","56.35","1.35M","0.16%"
"2024- 02- 22","56.56","56.26","56.81","56.24","1.93M","0.93%"
"2024- 02- 21","56.04","55.39","56.06","55.11","2.05M","0.90%"
"2024- 02- 20","55.54","55.00","55.60","54.90","2.41M","0.22%"
"2024- 02- 16","55.42","55.45","55.81","55.20","2.04M","-0.13%"
"2024- 02- 15","55.49","55.93","56.31","55.02","4.02M","-0.57%"
"2024- 02- 14","55.81","56.06","56.19","55.35","2.61M","0.20%"
"2024- 02- 13","55.70","56.22","56.24","55.17","3.06M","-1.99%"
"2024- 02- 12","56.83","57.32","57.38","56.72","2.15M","-0.73%"
"2024- 02- 09","57.25","56.88","57.35","56.65","1.30M","0.86%"
"2024- 02- 08","56.76","56.70","57.18","56.67","1.36M","-0.26%"
"2024- 02- 07","56.91","56.74","57.06","56.32","1.88M","1.05%"
"2024- 02- 06","56.32","55.83","56.46","55.76","4.26M","0.61%"
"2024- 02- 05","55.98","56.24","56.39","55.73","2.24M","-1.18%"
"2024- 02- 02","56.65","56.92","57.41","56.32","2.56M","-0.77%"
"2024- 02- 01","57.09","57.54","57.74","56.28","2.88M","-1.18%"
"2024- 01- 31","57.77","58.60","60.72","57.51","4.30M","-1.16%"
